Name	number
MSTRG.17903.1	4
MSTRG.29064.2	3
MSTRG.8841.4	30
MSTRG.27949.1	2
MSTRG.25255.1	8
MSTRG.19035.3	5
MSTRG.34767.2	5
MSTRG.32073.2	5
MSTRG.20912.1	7
MSTRG.26344.1	8
MSTRG.15226.2	4
MSTRG.588.1	4
MSTRG.3189.2	6
MSTRG.69.1	1
MSTRG.12895.3	6
MSTRG.15590.1	3
MSTRG.4278.2	5
MSTRG.33479.2	3
MSTRG.11290.3	11
MSTRG.23133.3	15
MSTRG.25056.1	2
MSTRG.5367.2	10
MSTRG.34568.2	7
MSTRG.10129.1	2
MSTRG.16996.1	2
MSTRG.389.1	2
MSTRG.28839.1	6
MSTRG.26145.1	7
MSTRG.30759.1	1
MSTRG.21891.4	11
MSTRG.11218.1	2
MSTRG.21802.1	1
MSTRG.29928.1	2
MSTRG.15391.1	1
MSTRG.27234.1	3
MSTRG.2156.4	3
MSTRG.31848.1	2
MSTRG.12307.1	13
MSTRG.25628.3	5
MSTRG.19408.5	7
MSTRG.16480.1	5
MSTRG.28323.1	2
MSTRG.32937.1	2
MSTRG.30243.1	8
MSTRG.5168.2	6
MSTRG.21819.2	14
MSTRG.35141.2	7
MSTRG.29412.1	1
MSTRG.1359.1	10
MSTRG.31332.1	1
MSTRG.21692.4	11
MSTRG.35458.2	4
MSTRG.11019.1	3
MSTRG.29729.1	2
MSTRG.27035.1	2
MSTRG.2448.1	6
MSTRG.31649.1	6
MSTRG.12108.1	2
MSTRG.28124.1	2
MSTRG.32738.1	3
MSTRG.30044.1	2
MSTRG.8435.2	10
MSTRG.29213.1	2
MSTRG.33827.1	2
MSTRG.31133.1	3
MSTRG.10866.2	8
MSTRG.20015.2	15
MSTRG.21984.1	11
MSTRG.6058.2	3
MSTRG.16298.2	5
MSTRG.2249.1	3
MSTRG.34916.1	4
MSTRG.32222.1	12
MSTRG.3618.6	9
MSTRG.17387.2	3
MSTRG.3338.1	2
MSTRG.33311.1	3
MSTRG.32539.1	5
MSTRG.29594.1	2
MSTRG.6139.7	10
MSTRG.29014.1	19
MSTRG.4427.1	4
MSTRG.34400.1	6
MSTRG.33628.1	6
MSTRG.27988.3	5
MSTRG.9325.2	3
MSTRG.16099.2	2
MSTRG.5516.1	23
MSTRG.34717.1	1
MSTRG.32023.1	2
MSTRG.30417.3	9
MSTRG.3139.1	10
MSTRG.35806.1	1
MSTRG.33112.1	4
MSTRG.13379.1	1
MSTRG.29395.1	2
MSTRG.1580.2	12
MSTRG.18277.2	4
MSTRG.31015.6	6
MSTRG.4228.1	2
MSTRG.20197.2	4
MSTRG.7203.4	13
MSTRG.34201.1	5
MSTRG.14468.1	11
MSTRG.9126.2	6
MSTRG.4872.5	9
MSTRG.6569.12	5
MSTRG.10168.3	8
MSTRG.5317.1	3
MSTRG.619.5	2
MSTRG.30798.3	7
MSTRG.19921.3	7
MSTRG.33493.1	11
MSTRG.11257.3	4
MSTRG.6406.1	9
MSTRG.35607.1	2
MSTRG.18849.4	3
MSTRG.31396.6	4
MSTRG.29196.1	3
MSTRG.34582.1	20
MSTRG.34002.1	2
MSTRG.19938.4	9
MSTRG.14269.1	4
MSTRG.5698.1	3
MSTRG.21367.7	5
MSTRG.34899.1	7
MSTRG.5118.1	27
MSTRG.21087.2	4
MSTRG.28959.8	6
MSTRG.29451.3	4
MSTRG.15358.1	12
MSTRG.28679.3	8
MSTRG.4093.1	3
MSTRG.35988.1	1
MSTRG.33294.1	31
MSTRG.6207.1	12
MSTRG.16447.1	13
MSTRG.27074.3	3
MSTRG.34383.1	3
MSTRG.23265.2	8
MSTRG.12147.3	2
MSTRG.25959.2	6
MSTRG.17536.1	5
MSTRG.5499.1	2
MSTRG.35472.1	16
MSTRG.24354.2	6
MSTRG.18625.1	6
MSTRG.1199.3	12
MSTRG.15159.1	2
MSTRG.6588.1	3
MSTRG.35789.1	2
MSTRG.33095.1	6
MSTRG.25443.2	3
MSTRG.17020.1	12
MSTRG.16248.1	2
MSTRG.19223.4	3
MSTRG.7677.1	10
MSTRG.34184.1	2
MSTRG.26532.2	4
MSTRG.17337.1	3
MSTRG.35062.9	6
